expert,predict_rows,predict_correlation,predict_directional_accuracy,risk_total_return,risk_benchmark_total_return,risk_excess_total_return,execution_total_return,execution_benchmark_total_return,execution_excess_total_return,execution_max_drawdown,execution_total_transaction_cost,execution_filled_orders,type,window_start,window_end,predict_source
ensemble_mean_score,5940,0.05346769898585325,0.48198653198653196,4.126988135090846,1.8357645458902643,2.2912235892005817,0.36320219559562505,1.835764545890254,-1.472562350294629,-0.151902099774626,7435.860760033518,1059,ensemble,2025-03-13,2025-12-23,C:\Users\Apricity\Desktop\股票\execution\experiments\us_a_share_expert_suite\ensemble_mean_score_regression_balanced\ensemble\test_predictions.csv
ensemble_rank_average,5940,0.05910918596935919,0.5664983164983165,3.541888765328782,1.8357645458902643,1.7061242194385176,0.17199547526755232,1.835764545890254,-1.6637690706227017,-0.1483417261193396,9492.177694929896,1201,ensemble,2025-03-13,2025-12-23,C:\Users\Apricity\Desktop\股票\execution\experiments\us_a_share_expert_suite\ensemble_rank_average_regression_balanced\ensemble\test_predictions.csv
ensemble_vote,5940,0.0756491302382938,0.5664983164983165,3.3184403925004204,1.5261859677029097,1.7922544247975107,0.15753774769523354,1.5261859677029004,-1.3686482200076668,-0.19505157905731385,8358.800426764206,941,ensemble,2025-03-13,2025-12-23,C:\Users\Apricity\Desktop\股票\execution\experiments\us_a_share_expert_suite\ensemble_vote_regression_balanced\ensemble\test_predictions.csv
transformer,5940,0.0208411245164868,0.4961279461279461,2.1757654184448243,1.8357645458902645,0.34000087255456,0.2839475201959642,1.835764545890254,-1.5518170256942898,-0.1748614351500583,8519.420798333344,1138,single_expert,2025-03-13,2025-12-23,aligned_filtered_predictions
lstm,5940,0.1186931813926185,0.4813131313131313,4.700195250542322,1.4675415442937103,3.232653706248612,0.2105915884264118,1.4675415442937036,-1.256949955867292,-0.1441780064141766,2315.298571666769,410,single_expert,2025-03-13,2025-12-23,aligned_filtered_predictions
lightgbm,5940,0.0677053356844899,0.538047138047138,3.2194229080992365,1.8357645458902645,1.3836583622089722,0.0951318641054708,1.835764545890254,-1.7406326817847833,-0.1567399900215281,8337.500878809495,1204,single_expert,2025-03-13,2025-12-23,aligned_filtered_predictions
xgboost,5940,0.1651931622457005,0.5683501683501684,1.0853308985634098,1.8357645458902645,-0.7504336473268545,0.0839589233313646,1.835764545890254,-1.7518056225588894,-0.1711164901574027,11172.86534198857,1203,single_expert,2025-03-13,2025-12-23,aligned_filtered_predictions
catboost,5940,0.1161478034809973,0.5664983164983165,1.4242858309380655,0.3899576984460453,1.0343281324920204,-0.1400567870139369,0.3899576984460422,-0.5300144854599792,-0.2192456890122266,2044.729388573928,188,single_expert,2025-03-13,2025-12-23,aligned_filtered_predictions
